"Date";"Value"
"01/04/1999";1,1825
"01/05/1999";1,1774
"01/06/1999";1,1622
"01/07/1999";1,1706
"01/08/1999";1,1577
"01/11/1999";1,1498
"01/12/1999";1,1564
"01/13/1999";1,1663
"01/14/1999";1,17
"01/15/1999";1,1553
"01/19/1999";1,1605
"01/20/1999";1,1557
"01/21/1999";1,1591
"01/22/1999";1,1585
"01/25/1999";1,1549
"01/26/1999";1,156
"01/27/1999";1,1423
"01/28/1999";1,1412
"01/29/1999";1,1357
"02/01/1999";1,1298
"02/02/1999";1,1339
"02/03/1999";1,13
"02/04/1999";1,1328
"02/05/1999";1,1259
"02/08/1999";1,1324
"02/09/1999";1,1303
"02/10/1999";1,1326
"02/11/1999";1,1233
"02/12/1999";1,1275
"02/16/1999";1,1205
"02/17/1999";1,1245
"02/18/1999";1,12
"02/19/1999";1,1076
"02/22/1999";1,103
"02/23/1999";1,101
"02/24/1999";1,1
"02/25/1999";1,104
"02/26/1999";1,1026
"03/01/1999";1,0885
"03/02/1999";1,0933
"03/03/1999";1,0889
"03/04/1999";1,0807
"03/05/1999";1,0825
"03/08/1999";1,0883
"03/09/1999";1,0885
"03/10/1999";1,0946
"03/11/1999";1,103
"03/12/1999";1,0907
"03/15/1999";1,0933
"03/16/1999";1,0996
"03/17/1999";1,0994
"03/18/1999";1,0966
"03/19/1999";1,0893
"03/22/1999";1,0911
"03/23/1999";1,0911
"03/24/1999";1,0888
"03/25/1999";1,0841
"03/26/1999";1,0765
"03/29/1999";1,073
"03/30/1999";1,0713
"03/31/1999";1,0766
"04/01/1999";1,078
"04/05/1999";1,0713
"04/06/1999";1,0835
"04/07/1999";1,0773
"04/08/1999";1,0743
"04/09/1999";1,0791
"04/12/1999";1,0813
"04/13/1999";1,0769
"04/14/1999";1,08
"04/15/1999";1,0703
"04/16/1999";1,07
"04/19/1999";1,0658
"04/20/1999";1,0631
"04/21/1999";1,061
"04/22/1999";1,0642
"04/23/1999";1,0613
"04/26/1999";1,0585
"04/27/1999";1,0664
"04/28/1999";1,0633
"04/29/1999";1,0587
"04/30/1999";1,058
"05/03/1999";1,0571
"05/04/1999";1,0623
"05/05/1999";1,0755
"05/06/1999";1,0799
"05/07/1999";1,0756
"05/10/1999";1,0785
"05/11/1999";1,0714
"05/12/1999";1,065
"05/13/1999";1,0661
"05/14/1999";1,0661
"05/17/1999";1,0669
"05/18/1999";1,0672
"05/19/1999";1,0661
"05/20/1999";1,0623
"05/21/1999";1,0575
"05/24/1999";1,0594
"05/25/1999";1,0603
"05/26/1999";1,044
"05/27/1999";1,0432
"05/28/1999";1,041
"06/01/1999";1,0452
"06/02/1999";1,0355
"06/03/1999";1,0324
"06/04/1999";1,0372
"06/07/1999";1,0288
"06/08/1999";1,046
"06/09/1999";1,047
"06/10/1999";1,0479
"06/11/1999";1,0535
"06/14/1999";1,0421
"06/15/1999";1,0426
"06/16/1999";1,0298
"06/17/1999";1,0335
"06/18/1999";1,0388
"06/21/1999";1,0348
"06/22/1999";1,0323
"06/23/1999";1,033
"06/24/1999";1,0421
"06/25/1999";1,043
"06/28/1999";1,0349
"06/29/1999";1,0328
"06/30/1999";1,0338
"07/01/1999";1,0233
"07/02/1999";1,0255
"07/06/1999";1,0236
"07/07/1999";1,0215
"07/08/1999";1,0217
"07/09/1999";1,0176
"07/12/1999";1,0145
"07/13/1999";1,0165
"07/14/1999";1,0204
"07/15/1999";1,0191
"07/16/1999";1,0196
"07/19/1999";1,0295
"07/20/1999";1,0408
"07/21/1999";1,0537
"07/22/1999";1,0514
"07/23/1999";1,0495
"07/26/1999";1,065
"07/27/1999";1,0621
"07/28/1999";1,0665
"07/29/1999";1,0724
"07/30/1999";1,0697
"08/02/1999";1,0693
"08/03/1999";1,0682
"08/04/1999";1,0772
"08/05/1999";1,0754
"08/06/1999";1,0745
"08/09/1999";1,0715
"08/10/1999";1,0707
"08/11/1999";1,0652
"08/12/1999";1,0668
"08/13/1999";1,0568
"08/16/1999";1,058
"08/17/1999";1,0512
"08/18/1999";1,0519
"08/19/1999";1,0638
"08/20/1999";1,0665
"08/23/1999";1,0493
"08/24/1999";1,0531
"08/25/1999";1,0416
"08/26/1999";1,0435
"08/27/1999";1,0457
"08/30/1999";1,0466
"08/31/1999";1,0573
"09/01/1999";1,0586
"09/02/1999";1,0679
"09/03/1999";1,0613
"09/07/1999";1,0586
"09/08/1999";1,0592
"09/09/1999";1,0541
"09/10/1999";1,0363
"09/13/1999";1,0417
"09/14/1999";1,0352
"09/15/1999";1,0392
"09/16/1999";1,0378
"09/17/1999";1,0408
"09/20/1999";1,0352
"09/21/1999";1,0488
"09/22/1999";1,0436
"09/23/1999";1,0485
"09/24/1999";1,0442
"09/27/1999";1,0469
"09/28/1999";1,053
"09/29/1999";1,0644
"09/30/1999";1,0695
"10/01/1999";1,0724
"10/04/1999";1,0737
"10/05/1999";1,0734
"10/06/1999";1,0689
"10/07/1999";1,0714
"10/08/1999";1,063
"10/11/1999";1,0643
"10/12/1999";1,0759
"10/13/1999";1,0802
"10/14/1999";1,0785
"10/15/1999";1,0887
"10/18/1999";1,083
"10/19/1999";1,0832
"10/20/1999";1,0739
"10/21/1999";1,0806
"10/22/1999";1,0684
"10/25/1999";1,0667
"10/26/1999";1,0587
"10/27/1999";1,0505
"10/28/1999";1,0512
"10/29/1999";1,0541
"11/01/1999";1,0503
"11/02/1999";1,0518
"11/03/1999";1,0484
"11/04/1999";1,0372
"11/05/1999";1,0419
"11/08/1999";1,0384
"11/09/1999";1,0402
"11/10/1999";1,0442
"11/11/1999";1,0412
"11/12/1999";1,0315
"11/15/1999";1,033
"11/16/1999";1,0309
"11/17/1999";1,0407
"11/18/1999";1,0294
"11/19/1999";1,0304
"11/22/1999";1,0315
"11/23/1999";1,0279
"11/24/1999";1,0188
"11/26/1999";1,0162
"11/29/1999";1,0095
"11/30/1999";1,0089
"12/01/1999";1,0081
"12/02/1999";1,0012
"12/03/1999";1,002
"12/06/1999";1,0224
"12/07/1999";1,0255
"12/08/1999";1,0276
"12/09/1999";1,0206
"12/10/1999";1,0125
"12/13/1999";1,0138
"12/14/1999";1,0055
"12/15/1999";1,0063
"12/16/1999";1,0162
"12/17/1999";1,0086
"12/20/1999";1,0137
"12/21/1999";1,0098
"12/22/1999";1,0087
"12/23/1999";1,0153
"12/27/1999";1,0121
"12/28/1999";1,0066
"12/29/1999";1,004
"12/30/1999";1,0066
"12/31/1999";1,0088
"01/03/2000";1,0088
"01/04/2000";1,0301
"01/05/2000";1,0315
"01/06/2000";1,0315
"01/07/2000";1,0296
"01/10/2000";1,0254
"01/11/2000";1,0331
"01/12/2000";1,0308
"01/13/2000";1,0252
"01/14/2000";1,0142
"01/18/2000";1,0135
"01/19/2000";1,0125
"01/20/2000";1,0175
"01/21/2000";1,0085
"01/24/2000";1,007
"01/25/2000";1,0009
"01/26/2000";1,0014
"01/27/2000";0,9882
"01/28/2000";0,9769
"01/31/2000";0,9688
