date,real_price_gold
1966-12-31,349.9672
1967-01-31,349.9672
1967-02-28,348.7809
1967-03-31,347.6254
1967-04-30,346.9682
1967-05-31,346.315
1967-06-30,345.7634
1967-07-31,344.9229
1967-08-30,344.1846
1967-09-30,343.1602
1967-10-31,342.1419
1967-11-30,341.6108
1967-12-31,340.6031
1968-01-31,341.9438
1968-02-29,340.944
1968-03-22,379.3026
1968-03-25,381.6733
1968-03-26,389.7334
1968-03-27,382.6215
1968-03-28,375.5096
1968-03-29,374.0872
1968-03-31,357.9669
1968-04-01,364.963
1968-04-02,352.6715
1968-04-03,363.5448
1968-04-04,359.7628
1968-04-05,365.4358
1968-04-08,360.7082
1968-04-09,364.963
1968-04-10,365.4358
1968-04-11,369.6905
1968-04-16,359.29
1968-04-17,357.399
1968-04-18,364.4902
1968-04-19,364.963
1968-04-22,368.2722
1968-04-23,372.527
1968-04-24,371.5815
1968-04-25,372.0543
1968-04-26,373.4725
1968-04-29,374.8908
1968-04-30,378.6728
1968-05-01,378.5179
1968-05-02,380.8748
1968-05-03,376.161
1968-05-06,382.7603
1968-05-07,379.4607
1968-05-08,381.3462
1968-05-09,382.2889
1968-05-10,381.3462
1968-05-13,372.39
1968-05-14,384.1745
1968-05-15,389.3596
1968-05-16,397.8445
1968-05-17,400.2014
1968-05-20,407.7434
1968-05-21,399.73
1968-05-22,400.6728
1968-05-23,399.2586
1968-05-24,402.5583
1968-05-27,399.2586
1968-05-28,391.2452
1968-05-29,399.73
1968-05-30,395.4876
1968-05-31,403.501
1968-06-04,393.6768
1968-06-05,394.1454
1968-06-06,387.5842
1968-06-07,386.6468
1968-06-10,388.0528
1968-06-11,398.3634
1968-06-12,396.0201
1968-06-13,390.3961
1968-06-14,386.6468
1968-06-17,384.7722
1968-06-18,387.1155
1968-06-19,390.3961
1968-06-20,387.1155
1968-06-21,386.1782
1968-06-24,384.7722
1968-06-25,384.3035
1968-06-26,382.8975
1968-06-27,384.7722
1968-06-28,383.3662
1968-07-01,381.6352
1968-07-02,382.5672
1968-07-03,383.4991
1968-07-04,383.4991
1968-07-05,382.1012
1968-07-08,382.1012
1968-07-09,372.7817
1968-07-10,374.6456
1968-07-11,365.792
1968-07-12,366.724
1968-07-15,365.792
1968-07-16,360.2003
1968-07-17,353.2106
1968-07-18,357.8704
1968-07-19,354.1426
1968-07-22,360.6663
1968-07-23,363.9281
1968-07-24,365.792
1968-07-25,363.9281
1968-07-26,362.5302
1968-07-29,364.8601
1968-07-30,364.3941
1968-07-31,362.5302
1968-08-01,361.4944
1968-08-02,361.0297
1968-08-05,362.4237
1968-08-06,360.5651
1968-08-07,360.1004
1968-08-08,358.2418
1968-08-09,359.1711
1968-08-12,358.7065
1968-08-13,361.4944
1968-08-14,362.8883
1968-08-15,364.7469
1968-08-16,363.8176
1968-08-19,365.2115
