instrument_id,maker_id,type,make_date,year_sale,house_sale,info,auction_catalog_date,auction_catalog_house,notes,num_year_sales,num_house_sales
107439,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. With original tinsel lapping. | Weight: 53.0 grams",,,,0,0
74982,647,Violin Bow,,2016,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. | Weight: 62.0 grams",,,,0,0
68462,647,Violin Bow,,2014,Tarisio,"Stamped, ""Darche Bruxelles."" | Round stick. Silver mounted. The early work of the maker, c.1897. | Stick: 73.0 cm / 74.4 cm | Weight: 60.5 grams",,,,0,0
107444,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 60.0 grams",,,,0,0
24657,647,Violin Bow,,2011,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted with original tinsel lapping. | Weight: 58.5 grams","November 9-10, 2011",Tarisio,,0,0
107606,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. | Stick: Length of stick with button: 75.5 cm Length of stick without button: 74.1 cm | Weight: 61.5 grams",,,,0,0
87333,647,Violin Bow,,2019,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 64.0 grams",,,,0,0
66929,647,Violin Bow,,2014,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 59.0 grams",,,,0,0
106276,647,Violin Bow,,2025,Tarisio,"Stamped twice, ""E. Sartory à Paris."" | Round stick. Gold mounted. | Stick: 73.2 / 74.5 cm | Weight: 59.5 grams",,,,0,0
106337,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: Length of stick with button: 74.4 cm Length of stick without button: 72.9 cm | Weight: 59.0 grams",,,,0,0
106929,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.0/74.6cm | Weight: 62.5 grams",,,,0,0
118746,647,Violin Bow,,2024,Tarisio,"Faintly stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.0 / 74.5 cm | Weight: 63.0 grams",,,,0,0
69080,647,Violin Bow,,2015,Tarisio,"Stamped, ""E. Sartory À Paris."" | Round stick. Silver mounted. | Weight: 62.0 grams",,,,0,0
119657,647,Violin Bow,,,,"Stamped, ""E. Sartory à Paris."" | Octagonal stick. Silver mounted. | Stick: 73.0 / 74.4 cm | Weight: 56.5 grams",,,,0,0
92099,647,Violin Bow,,2020,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. The silver mounted frog also by Sartory but not original to the stick. The button later. | Weight: 60.5 grams",,,,0,0
108581,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: Length of stick with button: 74.3 cm Length of stick without button: 73.0 cm | Weight: 58.0 grams",,,,0,0
84200,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 62.5 grams",,,,0,0
74602,647,Violin Bow,,2016,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. | Weight: 61.0 grams",,,,0,0
106588,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.0/74.4cm | Weight: 63.0 grams",,,,0,0
84500,647,Violin Bow,,2019,Tarisio,"Faintly stamped, ""E. Sartory à Paris."" | Octagonal stick. Silver mounted. | Weight: 62.5 grams",,,,0,0
100597,647,Violin Bow,,2022,Tarisio,"Stamped, ""E. Sartory à Paris."" | Octagonal stick. Silver mounted. | Stick: 73.0 / 74.5 cm | Weight: 60.0 grams",,,,0,0
103740,647,Violin Bow,,,,"Stamped, ""E. Sartory à Paris."" | Octagonal stick. Silver mounted. | Weight: 63.0 grams",,,,0,0
107290,647,Violin Bow,,2023,Tarisio,"Stamped to the handle and under the winding, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 72.9/74.3cm | Weight: 60.5 grams",,,,0,0
56120,647,Violin Bow,,1984,Bongartz's,Gold mounted.,"November 26, 1984",Bongartz's,"""Goldmontierter französischer Violinbogen von E. Sartory, Paris 1928, Schildpattfrosch
mit Pariser Auge, Goldkopfplatte, Permuttfacetten im Bouton, auf dem Ring
befindet sich die von Sartory angefertigte Gravur: Specialement fait pour E. Ysaye;
unterhalb des Perlmuttschiebers ist die Jahreszahl 1928 eingraviert. Der Bogen
entstammt dem Nachlaß von E. Ysaye. Er ist einmalig und in absolut perfektem
Zustand, 64 g""",0,0
106203,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory A Paris."" | Round stick. Silver mounted. | Stick: 73.1 / 74.5 cm | Weight: 60.0 grams",,,,0,0
88456,647,Violin Bow,,,,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 62.0 grams",,,,0,0
73975,647,Violin Bow,,2015,Tarisio,"Stamped, ""E. Sartory."" | Round stick. Silver mounted. | Weight: 62.5 grams",,,,0,0
57896,647,Violin Bow,,2007,Guy Laurent,Gold and tortoiseshell mounted. | Weight: 62.5 grams,"December 6, 2007",Guy Laurent,""". . .signé, dédicacé par la reine Elisabeth de Belgique
à son cher Maître Eugène Ysaÿe, daté du 24 décembre 1929, monté écaille et or. 62,5 g. Très bon état.
Accompagné d'une lettre du service de la reine, palais de Bruxelles et datée du 21 Novembre 1929.""
Guy Laurent Instruments du Quatuor Catalog, December 6, 2007, Vichy
, Guy Laurent Instruments du Quatuor Catalog, December 6, 2007, Vichy, Vichy",0,0
68356,647,Violin Bow,,2014,Tarisio,"Stamped, ""E. Sartory à Paris."" | Octagonal stick. Silver mounted. | Weight: 64.5 grams",,,,0,0
107202,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.3 / 74.7 cm | Weight: 62.0 grams",,,,0,0
15851,647,Violin Bow,,2008,Tarisio Private Sales,"Stamped, ""E. Sartory à Paris."" | Silver mounted.",,,,0,0
108272,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.1 / 74.7 cm | Weight: 58.5 grams",,,,0,0
33324,647,Violin Bow,,2012,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Engraved to the ferrule, ""For Lawrence Kurklyn in memory of Ferreia, Joseph Szigeti."" | Weight: 60.0 grams",,,,0,0
64403,647,Violin Bow,,2013,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. | Weight: 58.0 grams",,,,0,0
63272,647,Violin Bow,,2013,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. | Weight: 61.5 grams",,,,0,0
64591,647,Violin Bow,,,,"Stamped, ""E. Sartory à Paris."" and ""Expon 1935."" | Gold and ivory mounted.",,,,0,0
32300,647,Violin Bow,,2012; 2021,Tarisio; Tarisio Private Sales,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 58.5 grams","April 25-26, 2012",Tarisio,,1,1
64449,647,Violin Bow,,2013,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. | Weight: 63.0 grams",,,,0,0
65179,647,Violin Bow,,2013,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 59.0 grams",,,,0,0
65064,647,Violin Bow,,2013,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 63.0 grams",,,,0,0
67000,647,Violin Bow,,2014,Tarisio,"Stamped twice, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 60.0 grams",,,,0,0
68802,647,Violin Bow,,2015,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Octagonal stick. | Weight: 60.5 grams",,,,0,0
72070,647,Violin Bow,,2015,Tarisio,"Stamped, ""E. Sartory A. Paris."" | Round stick. Silver mounted. | Weight: 61 grams",,,,0,0
72413,647,Violin Bow,,,,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. With button 74.5 cm. Without button 73.1 cm. | Weight: 58.0 grams",,,,0,0
73921,647,Violin Bow,,2015,Tarisio,"Stamped, ""E. Sartory À Paris."" | Round stick. Silver mounted. | Weight: 62.0 grams",,,,0,0
73145,647,Violin Bow,,2022,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Gold and tortoiseshell mounted. | Stick: Length of stick without button: 73.1 Length of stick with button: 74.5 cm | Weight: 61.0 grams",,,,0,0
75474,647,Violin Bow,,2016,Tarisio,"Stamped, ""E. Sartory À Paris."" | Round stick. Silver mounted. | Weight: 60.0 grams",,,,0,0
73199,647,Violin Bow,,2015,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. | Weight: 63.5 grams (with silver lapping)",,,,0,0
76757,647,Violin Bow,,2016,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 59.5 grams",,,,0,0
75447,647,Violin Bow,,2016,Tarisio,"Stamped, ""E. Sartory À Paris."" | Round stick. Silver mounted. | Stick: 73.1 cm/74.5 cm | Weight: 60.5 grams",,,,0,0
77968,647,Violin Bow,,2017,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Gold mounted. | Weight: 59.5 grams",,,,0,0
77793,647,Violin Bow,,2003; 2017,Bein & Fushi; Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 58.5 grams",,,,1,1
78017,647,Violin Bow,,2017,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 63.0 grams",,,,0,0
75565,647,Violin Bow,,2016,Tarisio Private Sales,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 59.5 grams",,,,0,0
78031,647,Violin Bow,,2017,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.2 cm / 74.7 cm | Weight: 59.0 grams",,,,0,0
78157,647,Violin Bow,,2017,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. | Weight: 59.0 grams",,,,0,0
78442,647,Violin Bow,,2017,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Octagonal stick. | Weight: 60.0 grams",,,,0,0
79072,647,Violin Bow,,2017,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 61.5 grams",,,,0,0
82286,647,Violin Bow,,2017,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. | Weight: 62.5 grams",,,,0,0
79073,647,Violin Bow,,2017,Tarisio,Stamped illegibly. | Silver mounted. Round stick. | Weight: 58.0 grams,,,,0,0
81366,647,Violin Bow,,1984; 2017,Ruth Kemper; Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 63.5 grams",,,,1,1
83378,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Gold mounted. Octagonal stick. | Weight: 63.5 grams",,,,0,0
82250,647,Violin Bow,,2017,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round sick. The silver mounted frog and button probably original to the stick. | Weight: 62.5 grams",,,,0,0
83415,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. | Weight: 63.0 grams",,,,0,0
82352,647,Violin Bow,,2017,Tarisio,"Faintly stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 62.5 grams",,,,0,0
83047,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Octagonal stick. | Weight: 60.0 grams",,,,0,0
83463,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.0 cm / 74.5 cm | Weight: 62.0 grams",,,,0,0
84235,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. | Weight: 60.0 grams",,,,0,0
83697,647,Violin Bow,,,,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. | Weight: 61.0 grams",,,,0,0
83177,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.1 cm / 74.5 cm | Weight: 62.0 grams",,,,0,0
84111,647,Violin Bow,,1988; 2018,William Moennig & Son; Tarisio,"Stamped, ""E. Sartory á Paris."" | Round stick. Silver mounted. | Weight: 63.0 grams",,,,1,1
85348,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. The silver mounted frog and button later. | Stick: 72.8 cm / 74.3 cm | Weight: 60.5 grams",,,,0,0
85116,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Gold and tortoiseshell mounted. | Weight: 61.0 grams",,,,0,0
85427,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 63.5 grams",,,,0,0
85232,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 59.5 grams",,,,0,0
85730,647,Violin Bow,,,,"Stamped, ""E. Sartory à Paris. | Round stick. Silver mounted. | Weight: 64.0 grams",,,,0,0
85689,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Octagonal stick. Gold mounted. | Stick: 73.1 cm / 74.6 cm | Weight: 58.5 grams",,,,0,0
91998,647,Violin Bow,,2020,Tarisio,"Stamped, ""Sartory à Paris."" | Round stick. Silver mounted. | Stick: 72.9 cm without button 74.4 cm with button | Weight: 60.5 grams",,,,0,0
88973,647,Violin Bow,,2019,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: Length of stick without button: 73.0 cm. Length of stick with button: 74.4 cm. | Weight: 61.5 grams",,,,0,0
91873,647,Violin Bow,,2020,Tarisio,"Stamped, ""E. Sartory à Paris."" | Octagonal stick. Silver mounted. | Stick: Length of stick without button: 72.9 cm. Length of stick with button: 74.4 cm. | Weight: 62.5 grams",,,,0,0
87660,647,Violin Bow,,2019,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: Length of stick without button: 73.0 cm. Length of stick with button: 74.5 cm. | Weight: 59.0 grams",,,,0,0
92169,647,Violin Bow,,2020,Tarisio,"Stamped, ""E. Sartory à Paris."" and, ""Expon 1931."" | Octagonal stick. Silver mounted. | Weight: 61.5 grams",,,,0,0
92767,647,Violin Bow,,2020,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: Length of stick without button: 72.9 cm. Length of stick with button: 74.3 cm. | Weight: 62.0 grams",,,,0,0
93598,647,Violin Bow,,2020,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.1 cm / 74.5 cm | Weight: 60.0 grams",,,,0,0
94312,647,Violin Bow,,2020,Tarisio,"Stamped, ""E. Sartory à Paris."" | Octagonal stick. Silver mounted. | Stick: Length of stick without button: 73.1 cm. Length of stick with button: 74.5 cm. | Weight: 63.5 grams",,,,0,0
93594,647,Violin Bow,,2020,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 63.0 grams",,,,0,0
94333,647,Violin Bow,,2019; 2020,Vichy; Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. Illustrated in ""L’Archet"", tome III, p. 114, n°9. | Stick: Length of stick without button: 72.8 cm. Length of stick with button: 74.3 cm. | Weight: 61.0 grams",,,,1,1
93615,647,Violin Bow,,2020,Tarisio,"Faintly stamped, ""E. Sartory à Paris."" | Round stick. The silver mounted frog and button later. | Stick: 72.9 cm / 74.4 cm | Weight: 65.5 grams",,,,0,0
96407,647,Violin Bow,,2021,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. The silver mounted frog by Sartory but originally from another stick. The button later. The stick slightly shortened. | Stick: 72.6 cm / 74.1 cm | Weight: 59.0 grams",,,,0,0
96337,647,Violin Bow,,2021,Tarisio,"Stamped, ""E. Sartory à Paris."" | Octagonal stick. Silver mounted. The frog and button also by Sartory but not original to the stick. | Stick: 73.1 cm / 74.6 cm | Weight: 64.5 grams",,,,0,0
96409,647,Violin Bow,,2021,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 72.9 cm / 74.3 cm | Weight: 59.5 grams",,,,0,0
96806,647,Violin Bow,,2021,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. The silver mounted frog and button later. | Stick: 73.2 cm / 74.6 cm | Weight: 62.0 grams",,,,0,0
100614,647,Violin Bow,,2022,Tarisio,"Faintly stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 72.9 / 74.4 cm | Weight: 62.0 grams",,,,0,0
104405,647,Violin Bow,,2022,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: Length of stick without button: 73.1 cm Length of stick with button: 74.5 cm | Weight: 62.5 grams",,,,0,0
102213,647,Violin Bow,,2022,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.0 / 74.5 cm | Weight: 64.0 grams",,,,0,0
100620,647,Violin Bow,,2022,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.1 / 74.5 cm | Weight: 56.5 grams",,,,0,0
