instrument_id,maker_id,type,make_date,year_sale,house_sale,info,auction_catalog_date,auction_catalog_house,notes,stick_length_without,stick_length_with,condition,material_grade,maker_name,authentication_score,weight,stick_shape
107439,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. With original tinsel lapping. | Weight: 53.0 grams",,,,,,0,1.1,"Sartory, Eugène Nicolas",3,53.0,round
74982,647,Violin Bow,,2016,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. | Weight: 62.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,62.0,round
68462,647,Violin Bow,,2014,Tarisio,"Stamped, ""Darche Bruxelles."" | Round stick. Silver mounted. The early work of the maker, c.1897. | Stick: 73.0 cm / 74.4 cm | Weight: 60.5 grams",,,,73.0,74.4,0,1.0,"Sartory, Eugène Nicolas",2,60.5,round
107444,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 60.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,60.0,round
24657,647,Violin Bow,,2011,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted with original tinsel lapping. | Weight: 58.5 grams","November 9-10, 2011",Tarisio,,,,0,1.1,"Sartory, Eugène Nicolas",3,58.5,
107606,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. | Stick: Length of stick with button: 75.5 cm Length of stick without button: 74.1 cm | Weight: 61.5 grams",,,,74.1,75.5,0,1.0,"Sartory, Eugène Nicolas",3,61.5,round
87333,647,Violin Bow,,2019,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 64.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,64.0,round
66929,647,Violin Bow,,2014,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 59.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,59.0,round
106276,647,Violin Bow,,2025,Tarisio,"Stamped twice, ""E. Sartory à Paris."" | Round stick. Gold mounted. | Stick: 73.2 / 74.5 cm | Weight: 59.5 grams",,,,73.2,74.5,0,2.0,"Sartory, Eugène Nicolas",3,59.5,round
106337,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: Length of stick with button: 74.4 cm Length of stick without button: 72.9 cm | Weight: 59.0 grams",,,,72.9,74.4,0,1.0,"Sartory, Eugène Nicolas",3,59.0,round
106929,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.0/74.6cm | Weight: 62.5 grams",,,,73.0,74.6,0,1.0,"Sartory, Eugène Nicolas",3,62.5,round
118746,647,Violin Bow,,2024,Tarisio,"Faintly stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.0 / 74.5 cm | Weight: 63.0 grams",,,,73.0,74.5,0,1.0,"Sartory, Eugène Nicolas",2,63.0,round
69080,647,Violin Bow,,2015,Tarisio,"Stamped, ""E. Sartory À Paris."" | Round stick. Silver mounted. | Weight: 62.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,62.0,round
119657,647,Violin Bow,,,,"Stamped, ""E. Sartory à Paris."" | Octagonal stick. Silver mounted. | Stick: 73.0 / 74.4 cm | Weight: 56.5 grams",,,,73.0,74.4,0,1.0,"Sartory, Eugène Nicolas",3,56.5,octagonal
92099,647,Violin Bow,,2020,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. The silver mounted frog also by Sartory but not original to the stick. The button later. | Weight: 60.5 grams",,,,,,1,1.0,"Sartory, Eugène Nicolas",3,60.5,round
108581,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: Length of stick with button: 74.3 cm Length of stick without button: 73.0 cm | Weight: 58.0 grams",,,,73.0,74.3,0,1.0,"Sartory, Eugène Nicolas",3,58.0,round
84200,647,Violin Bow,,2018,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Weight: 62.5 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,62.5,round
74602,647,Violin Bow,,2016,Tarisio,"Stamped, ""E. Sartory à Paris."" | Silver mounted. Round stick. | Weight: 61.0 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",3,61.0,round
106588,647,Violin Bow,,2023,Tarisio,"Stamped, ""E. Sartory à Paris."" | Round stick. Silver mounted. | Stick: 73.0/74.4cm | Weight: 63.0 grams",,,,73.0,74.4,0,1.0,"Sartory, Eugène Nicolas",3,63.0,round
84500,647,Violin Bow,,2019,Tarisio,"Faintly stamped, ""E. Sartory à Paris."" | Octagonal stick. Silver mounted. | Weight: 62.5 grams",,,,,,0,1.0,"Sartory, Eugène Nicolas",2,62.5,octagonal
