iter	RMSE
0	1.311816488
1	1.28597794
2	1.26133778
3	1.237810648
4	1.215572563
5	1.193548277
6	1.172206377
7	1.152041575
8	1.132053749
9	1.113000135
10	1.094120686
11	1.076510135
12	1.059347455
13	1.043553702
14	1.027514897
15	1.01218132
16	0.9971830685
17	0.9831267033
18	0.9696515541
19	0.9568737191
20	0.9446099823
21	0.9326207649
22	0.9216049809
23	0.9104148545
24	0.9000323465
25	0.8893923321
26	0.8796546232
27	0.8699554527
28	0.860797503
29	0.8521695208
30	0.8438349623
31	0.8359179788
32	0.8286648898
33	0.821202289
34	0.8143821231
35	0.807359277
36	0.8004024881
37	0.7945533101
38	0.7881512262
39	0.7821994958
40	0.7765951215
41	0.7712787003
42	0.7659328817
43	0.7611172828
44	0.7565208207
45	0.7520612552
46	0.7478505631
47	0.7439645245
48	0.7404727557
49	0.7369748643
50	0.7336221354
51	0.7300933765
52	0.726788529
53	0.7236921158
54	0.7205706189
55	0.7175491463
56	0.7146479348
57	0.711736753
58	0.708944814
59	0.7062788893
60	0.7039993586
61	0.7015724026
62	0.6993525906
63	0.6972579527
64	0.6949547516
65	0.6927446484
66	0.6906662756
67	0.6887625264
68	0.6870224982
69	0.685325592
70	0.6837742774
71	0.6821808895
72	0.6806057094
73	0.6791463832
74	0.6775897761
75	0.6761346005
76	0.674877896
77	0.6735723445
78	0.6721378703
79	0.6708620834
80	0.6695752728
81	0.6685014207
82	0.6670887706
83	0.6659055326
84	0.6650191368
85	0.6640008895
86	0.6629183286
87	0.6621155373
88	0.6613365188
89	0.6605248551
90	0.6595824861
91	0.6587398734
92	0.6579578349
93	0.6571859841
94	0.6561618068
95	0.6553968627
96	0.6546500362
97	0.6540213823
98	0.6533526697
99	0.6527665299
100	0.6520842766
101	0.651448419
102	0.6508381999
103	0.6502808539
104	0.6496508105
105	0.6491030496
106	0.6485656647
107	0.6479584175
108	0.6474719748
109	0.646963714
110	0.6462478738
111	0.6456682423
112	0.6451929546
113	0.6447220388
114	0.6442746706
115	0.6438403276
116	0.6434342196
117	0.6430090785
118	0.642664561
119	0.6423029845
120	0.6419183894
121	0.6415711567
122	0.6411911222
123	0.6408472747
124	0.640132231
125	0.6398106359
126	0.639493552
127	0.6392109912
128	0.6388699699
129	0.638529155
130	0.6382141221
131	0.6378206249
132	0.6374737254
133	0.6371895158
134	0.6365199337
135	0.6363009965
136	0.6359672195
137	0.6355755839
138	0.6352318621
139	0.634967491
140	0.6347399408
141	0.634433685
142	0.6341038344
143	0.6338801877
144	0.6335553358
145	0.6332801294
146	0.6330252299
147	0.6327661025
148	0.6325823981
149	0.6321750057
150	0.6319393633
151	0.631706828
152	0.6315250411
153	0.6313369745
154	0.6311020479
155	0.6309268167
156	0.6305064175
157	0.6300727308
158	0.6297048483
159	0.6294865762
160	0.6292881696
161	0.6290886008
162	0.6289195636
163	0.6287445413
164	0.6283268917
165	0.6281485721
166	0.6279556773
167	0.6277464818
168	0.627575393
169	0.6274294528
170	0.6271785
171	0.6269154172
172	0.6267266242
173	0.626597671
174	0.6263724065
175	0.626154032
176	0.6260523764
177	0.6258541292
178	0.6257045974
179	0.6255090195
180	0.625330328
181	0.6249514911
182	0.6247781629
183	0.6246214356
184	0.6243611392
185	0.6241953638
186	0.6240100734
187	0.6235822728
188	0.6234324532
189	0.6232425471
190	0.6231326259
191	0.6230268059
192	0.6226352432
193	0.622538211
194	0.6223723122
195	0.6222391854
196	0.6220624462
197	0.6219383743
198	0.621746233
199	0.6216280782
200	0.6214992543
201	0.6213359029
202	0.6211963765
203	0.6210631031
204	0.6209729946
205	0.6206161665
206	0.6204486747
207	0.6202783721
208	0.620125264
209	0.6199251536
210	0.6196989333
211	0.6195513652
212	0.6194311656
213	0.6191464507
214	0.6190315011
215	0.6189212415
216	0.6188250864
217	0.6186173562
218	0.6182272127
219	0.6180995867
220	0.618004507
221	0.6177964733
222	0.6176926697
223	0.61745024
224	0.617280683
225	0.6170326873
226	0.6169335162
227	0.6167727973
228	0.6166667199
229	0.6165436738
230	0.6163260459
231	0.6161343461
232	0.6159228773
233	0.6157955805
234	0.6156177106
235	0.6153879722
236	0.6150923044
237	0.6149200909
238	0.6147136186
239	0.6145909662
240	0.6144758142
241	0.6143769133
242	0.6142556696
243	0.6141379184
244	0.6139884661
245	0.6138406486
246	0.6136194063
247	0.6134042022
248	0.6132227906
249	0.6130946204
250	0.6130013549
251	0.612917432
252	0.6127795691
253	0.6126223155
254	0.612463781
255	0.6123542627
256	0.6122176884
257	0.6120807868
258	0.6118872208
259	0.6117730265
260	0.6114299311
261	0.6113706405
262	0.6112246406
263	0.6111117382
264	0.6110176578
265	0.6108914759
266	0.6107841083
267	0.6107240812
268	0.6105920518
269	0.6105413133
270	0.610394529
271	0.6101996584
272	0.6100756332
273	0.6099797247
274	0.609914816
275	0.6097545609
276	0.6096282252
277	0.6094225001
278	0.6092417374
279	0.6091229359
280	0.6090354015
281	0.6089338225
282	0.6088570022
283	0.6086818485
284	0.6084888582
285	0.6084298434
286	0.6082757032
287	0.6080928355
288	0.6079214181
289	0.6077467428
290	0.6076685835
291	0.6075366149
292	0.607415039
293	0.6073353486
294	0.6072091162
295	0.6071533295
296	0.6070546416
297	0.6069411967
298	0.606844761
299	0.6066051884
300	0.60648997
301	0.6063202002
302	0.6062265884
303	0.606053926
304	0.605876195
305	0.6057446564
306	0.6056429283
307	0.605520618
308	0.6053198458
309	0.6050986954
310	0.6050280251
311	0.6046968928
312	0.604465745
313	0.6043460057
314	0.6041432907
315	0.6039753535
316	0.6038430726
317	0.6036423208
318	0.6034556792
319	0.6033367995
320	0.6032666237
321	0.6031703177
322	0.602982556
323	0.6028007716
324	0.6027099378
325	0.6025374324
326	0.6024544229
327	0.6023339055
328	0.6021272287
329	0.6020480936
330	0.6018895789
331	0.6017427874
332	0.6016479004
333	0.6015099884
334	0.6013637699
335	0.6012624952
336	0.6011018477
337	0.6009575696
338	0.6008917943
339	0.6007906759
340	0.6007443817
341	0.6006216801
342	0.6005320875
343	0.6004197695
344	0.6004116032
345	0.6002826891
346	0.6002228111
347	0.6002192442
348	0.6000988679
349	0.5999242217
350	0.5998053059
351	0.5997365062
352	0.5995957162
353	0.5993991996
354	0.5991957794
355	0.5991196078
356	0.5990359137
357	0.5988471864
358	0.5986946902
359	0.598599202
360	0.5983943318
361	0.5982888817
362	0.5981107886
363	0.5979678978
364	0.5979006001
365	0.5978237039
366	0.5978199171
367	0.5977027947
368	0.5975923871
369	0.5975220687
370	0.597516777
371	0.5974223855
372	0.5974113885
373	0.5973439525
374	0.5972152905
375	0.5970465136
376	0.597042392
377	0.5969839436
378	0.5968610301
379	0.5967615187
380	0.596686905
381	0.596660294
382	0.5966293369
383	0.5966260197
384	0.5965261312
385	0.596521419
386	0.5965159765
387	0.5963895782
388	0.5963060798
389	0.5962886183
390	0.596278578
391	0.5961198964
392	0.5961146063
393	0.5958874334
394	0.5957543277
395	0.5957483714
396	0.5957441986
397	0.5957393634
398	0.5956638796
399	0.595660135
400	0.5956544529
401	0.595649447
402	0.5954804375
403	0.5954732703
404	0.595466808
405	0.5954605492
406	0.5953584172
407	0.5953472742
408	0.595342142
409	0.5953380035
410	0.5953354248
411	0.5953308269
412	0.5953265395
413	0.5953203355
414	0.595145675
415	0.5950480342
416	0.5949342605
417	0.5949285443
418	0.5949234196
419	0.5948648145
420	0.5947489238
421	0.5947461288
422	0.5947401258
423	0.5947349269
424	0.5947313415
425	0.5947252633
426	0.5947203836
427	0.5947156843
428	0.5947121312
429	0.5947018877
430	0.5946861012
431	0.5946822734
432	0.59467923
433	0.5946731899
434	0.5946673369
435	0.594574834
436	0.5945165075
437	0.5944548853
438	0.594344992
439	0.5943399358
440	0.5943271988
441	0.5941872943
442	0.5940656211
443	0.5940602118
444	0.5939076288
445	0.5939044853
446	0.5938426589
447	0.5938383281
448	0.59382023
449	0.5937693959
450	0.5936140926
451	0.5936110511
452	0.5934725464
453	0.5934593142
454	0.5934462583
455	0.5933319583
456	0.5933105048
457	0.5933028464
458	0.5932860437
459	0.5930742324
460	0.5930613098
461	0.5930530416
462	0.593048581
463	0.5930429816
464	0.5930395528
465	0.593036332
466	0.5928348633
467	0.5928289182
468	0.5928263158
469	0.5928137399
470	0.5928025315
471	0.5926247304
472	0.5926199002
473	0.5925574874
474	0.5924753076
475	0.5923811076
476	0.5923777427
477	0.5923678213
478	0.5923041893
479	0.5922997593
480	0.5922768255
481	0.5921590344
482	0.5920542916
483	0.5919583302
484	0.5918595935
485	0.5918563331
486	0.5917136286
487	0.5916859957
488	0.5916832625
489	0.5916539391
490	0.5916416248
491	0.5916381292
492	0.5915544902
493	0.5914817737
494	0.5913988734
495	0.5913937999
496	0.5913634541
497	0.5913597408
498	0.5912339673
499	0.5912233138
500	0.5911283162
501	0.5911237949
502	0.5911208974
503	0.5910596821
504	0.5909196693
505	0.5908019013
506	0.5907629307
507	0.5907381676
508	0.590661695
509	0.5906587024
510	0.5906376234
511	0.5906352276
512	0.5905205665
513	0.5903550188
514	0.5902489717
515	0.5902460372
516	0.5901747916
517	0.5900200793
518	0.5900127405
519	0.5900101033
520	0.590005888
521	0.5899142556
522	0.5897485085
523	0.5897055511
524	0.5895196523
525	0.5895111074
526	0.5893160991
527	0.5893047258
528	0.5892978522
529	0.5892943409
530	0.5891486609
531	0.5891455823
532	0.589058804
533	0.589047485
534	0.5890363649
535	0.5889975726
536	0.5889441019
537	0.5889338992
538	0.5888971843
539	0.5888945783
540	0.5888706072
541	0.5887807365
542	0.5887697918
543	0.5887676271
544	0.5886818658
545	0.5886796532
546	0.5885740815
547	0.5884736488
548	0.5884578234
549	0.5884493157
550	0.5884465477
551	0.5883571412
552	0.5883544107
553	0.5882596437
554	0.588092025
555	0.5880892956
556	0.5880865257
557	0.5879260799
558	0.5878021254
559	0.5876548851
560	0.5876169449
561	0.5875762832
562	0.5875725874
563	0.5875695783
564	0.5874837852
565	0.5874820242
566	0.5874755933
567	0.5874309402
568	0.5873619958
569	0.5871968985
570	0.5871328261
571	0.5871302494
572	0.5871291796
573	0.5869868612
574	0.5869575351
575	0.5867675503
576	0.5867641948
577	0.586624167
578	0.586487081
579	0.5863855985
580	0.586211702
581	0.5861156711
582	0.5860808049
583	0.5859206926
584	0.585787109
585	0.5857801141
586	0.5857776696
587	0.5856323293
588	0.5854107273
589	0.5851911875
590	0.585179439
591	0.5849487773
592	0.58480085
593	0.584670369
594	0.5846668017
595	0.5845419164
596	0.5843706368
597	0.5842713808
598	0.5841362976
599	0.5839887554
600	0.5838904397
601	0.5838313278
602	0.5837017439
603	0.5835865142
604	0.5835831627
605	0.583469168
606	0.5834661932
607	0.5833434965
608	0.5832271684
609	0.5831534515
610	0.5830535676
611	0.5829399545
612	0.5829355839
613	0.5829324053
614	0.5829289596
615	0.5828937179
616	0.5827865098
617	0.5826896447
618	0.5826682416
619	0.5825716649
620	0.5825084373
621	0.5823799662
622	0.5823777916
623	0.5822016997
624	0.5821030706
625	0.5820986344
626	0.5819985284
627	0.5819931877
628	0.5819650366
629	0.5819621373
630	0.5817845718
631	0.5817470206
632	0.5817438843
633	0.5816360967
634	0.5815108698
635	0.5814838188
636	0.5813791535
637	0.5813753597
638	0.5812323965
639	0.581090476
640	0.5809768326
641	0.5808594209
642	0.5807055004
643	0.580592194
644	0.5804053625
645	0.5803903353
646	0.5802178158
647	0.5801273463
648	0.5800978001
649	0.5800303395
650	0.5800242651
651	0.579923782
652	0.5797852422
653	0.5797820604
654	0.5797714776
655	0.5797706928
656	0.5795736943
657	0.5795727784
658	0.5795127769
659	0.5794365712
660	0.5793416025
661	0.5792145754
662	0.5792123929
663	0.579073436
664	0.5789281865
665	0.5788392838
666	0.578798008
667	0.5787949472
668	0.5787928468
669	0.5786661509
670	0.5786632128
671	0.5785225878
672	0.5785073517
673	0.5782817748
674	0.5782371574
675	0.5781456596
676	0.5781369434
677	0.578109853
678	0.5779635888
679	0.5778262457
680	0.5777413448
681	0.5776378137
682	0.577626177
683	0.5776205545
684	0.577445144
685	0.5772778368
686	0.5772068155
687	0.5772053592
688	0.5771258476
689	0.5770087525
690	0.5769318324
691	0.5769129714
692	0.576832554
693	0.5767210724
694	0.576604973
695	0.5764959678
696	0.5764941271
697	0.576341782
698	0.5763172926
699	0.5761990331
700	0.5761676247
701	0.576040324
702	0.5759253966
703	0.5759247409
704	0.5758024694
705	0.5756731169
706	0.5755712239
707	0.57541994
708	0.5752372554
709	0.5751518859
710	0.5751504754
711	0.5750816238
712	0.5749061928
713	0.5748965835
714	0.5748928664
715	0.5747590138
716	0.5746533228
717	0.574498433
718	0.5743996783
719	0.5743899216
720	0.5743875793
721	0.5742807291
722	0.5741086752
723	0.5739976146
724	0.5739203622
725	0.573811681
726	0.5737856111
727	0.5736376228
728	0.5736360048
729	0.5735027211
730	0.5734020271
731	0.573276962
732	0.5731226812
733	0.5729760647
734	0.5729273516
735	0.5729239727
736	0.5728186775
737	0.5728171392
738	0.5726864094
739	0.5726047905
740	0.5726021734
741	0.5725478198
742	0.5724119301
743	0.5724110185
744	0.572283223
745	0.5722800796
746	0.5721469822
747	0.572008998
748	0.572005591
749	0.5718368935
750	0.5716818157
