instrument_id,maker_id,type,make_date,info,notes,length_of_back,upper_bouts,middle_bouts,lower_bouts,condition,maker_name,authentication_score,city,provenance_known_players,certificates,other_info,notoriety_score
20819,2919,Violin,1770.0,"Labeled, ""Michael Achner..."" | Length of back: 35.6 cm",,35.6,,,,2.0,"Achner, Michael",3,Wallgau,,,,0.0
84148,2611,Violin,1783.0,"Labeled, ""Philip Achner, Mittenwald, 1783. | Length of back: 35.8 cm",,35.8,,,,2.0,"Achner, Philip",3,Mittenwald,,,,0.0
89068,890,Violin,1922.0,"Labeled, ""Exposition #10, Acoulon, Anno 1922., 140. Rue St. Charles, Paris No.781."" | Branded to the upper block, ""JTL."" | Length of back: 35.6 cm | Upper bouts: 16.5 cm | Middle bouts: 11.1 cm | Lower bouts: 20.4 cm",,35.6,16.5,11.1,20.4,2.0,"Acoulon, Alexandre Alfred",3,,,,,0.0
64956,890,Violin,1911.0,"Labeled, ""Acoulon, Anno 1911, 140 rue Saint Charles, Paris, No 468."" | Branded ""JTL"" to the upper block. | Length of back: 35.4 cm",,35.4,,,,2.0,"Acoulon, Alexandre Alfred",3,Paris,,,,0.0
13763,890,Violin,1900.0,"Labeled, ""Copie de Nicolaus Amati..."" | Excellent condition. | Length of back: 35.9 cm",,35.9,,,,3.0,"Acoulon, Alexandre Alfred",2,Mirecourt,,"Arthur F. Hill, London (2012)",,0.0
75071,2260,Violin,1885.0,"Labeled, ""P. P. Adamsen, instrumentmager. 1885."" | Length of back: 36.2 cm | Upper bouts: 17.0 cm | Middle bouts: 11.6 cm | Lower bouts: 20.9 cm",,36.2,17.0,11.6,20.9,2.0,"Adamsen, Peter Petersen",3,Copenhagen,,,,0.0
68883,2260,Viola,1900.0,"Labeled, ""P. P. Adamsen."" | Length of back: 38.5 cm",,38.5,,,,2.0,"Adamsen, Peter Petersen",3,,,,,0.0
64736,2260,Cello,1891.0,"Labeled, ""P. P. Adamsen Instrumentmager 1891."" | Length of back: 77.0 cm (30 1/4 inches)",,77.0,,,,2.0,"Adamsen, Peter Petersen",3,Copenhagen,,,,0.0
74326,2805,Viola,1948.0,"Labeled, ""Lutherie D'art, Pere Aerts Fils, Rue de la Regence, Bruxelles Belgique, Los Angeles, 1948, Aerts."" | Varnish: of a golden orange brown color. | Length of back: 42.8 cm | Upper bouts: 19.5 cm | Middle bouts: 13.0 cm | Lower bouts: 24.0 cm",,42.8,19.5,13.0,24.0,2.0,"Aerts, Marcel",3,"Los Angeles, CA",,,Back: in one piece of slab cut maple. | Top: in two pieces of spruce with medium width grain broadening towards the edges. | Scroll: of similar wood to that of the back. | Ribs: in quarter cut maple with medium width flame.,0.0
32229,2262,Violin,1928.0,"Unlabeled. Branded to the lower rib, ""René Aerts, Bruxelles."" | Length of back: 35.8 cm | Upper bouts: 16.8 cm | Middle bouts: 11.2 cm | Lower bouts: 20.7 cm",,35.8,16.8,11.2,20.7,2.0,"Aerts, Rene",3,Brussels,,,,0.0
108620,15467,Violin,1928.0,"Labeled, ""Lutherie D'art, Pere Aerts Fils, Rue de la Regence 7, Bruxelles Belgique, 1928."" Signed to the label. | Length of back: 35.8 cm | Upper bouts: 16.8 cm | Middle bouts: 11.3 cm | Lower bouts: 20.6 cm",,35.8,16.8,11.3,20.6,2.0,"Aerts, René & Marcel",4,Brussels,,,,0.0
83357,2665,Violin,1967.0,"Labeled, ""Luigi Agostinelli da Gubbio, Milano anno 1967, Luigi Agostinelli, Aelli."" Signed to the label. | Branded to upper and lower block, ""Aelli."" | Length of back: 35.6 cm | Upper bouts: 16.9 cm | Middle bouts: 11.2 cm | Lower bouts: 21.0 cm",,35.6,16.9,11.2,21.0,2.0,"Agostinelli, Luigi",4,Milan,,,,0.0
78487,2665,Violin,1953.0,"Labeled, ""Luigi Agostinelli da Gubbio, in Torre Pellice anno 1953."" Signed to the label, ""Luigi Augostinelli."" | Engraved to the blocks, ""Aelli."" Rosewood button. | Length of back: 35.7 cm | Upper bouts: 16.7 cm | Middle bouts: 11.4 cm | Lower bouts: 21.1 cm",,35.7,16.7,11.4,21.1,2.0,"Agostinelli, Luigi",4,Turin,,,,0.0
