instrument_id,maker_id,type,make_date,year_sale,house_sale,info,auction_catalog_date,auction_catalog_house,notes,condition,length_of_back,upper_bouts,middle_bouts,lower_bouts,maker_name,authentication_score
20819,2919,Violin,1770.0,2010,Tarisio,"Labeled, ""Michael Achner..."" | Length of back: 35.6 cm",,,,,35.6,,,,"Achner, Michael",3
84148,2611,Violin,1783.0,2018,Tarisio,"Labeled, ""Philip Achner, Mittenwald, 1783. | Length of back: 35.8 cm",,,,,35.8,,,,"Achner, Philip",3
89068,890,Violin,1922.0,2019,Tarisio,"Labeled, ""Exposition #10, Acoulon, Anno 1922., 140. Rue St. Charles, Paris No.781."" | Branded to the upper block, ""JTL."" | Length of back: 35.6 cm | Upper bouts: 16.5 cm | Middle bouts: 11.1 cm | Lower bouts: 20.4 cm",,,,,35.6,16.5,11.1,20.4,"Acoulon, Alexandre Alfred",3
64956,890,Violin,1911.0,2013,Tarisio,"Labeled, ""Acoulon, Anno 1911, 140 rue Saint Charles, Paris, No 468."" | Branded ""JTL"" to the upper block. | Length of back: 35.4 cm",,,,,35.4,,,,"Acoulon, Alexandre Alfred",3
13763,890,Violin,1900.0,2007,Tarisio,"Labeled, ""Copie de Nicolaus Amati..."" | Excellent condition. | Length of back: 35.9 cm",,,,2.0,35.9,,,,"Acoulon, Alexandre Alfred",2
75071,2260,Violin,1885.0,2017,Tarisio,"Labeled, ""P. P. Adamsen, instrumentmager. 1885."" | Length of back: 36.2 cm | Upper bouts: 17.0 cm | Middle bouts: 11.6 cm | Lower bouts: 20.9 cm",,,,,36.2,17.0,11.6,20.9,"Adamsen, Peter Petersen",3
68883,2260,Viola,1900.0,2015,Tarisio,"Labeled, ""P. P. Adamsen."" | Length of back: 38.5 cm",,,,,38.5,,,,"Adamsen, Peter Petersen",3
64736,2260,Cello,1891.0,2013,Tarisio,"Labeled, ""P. P. Adamsen Instrumentmager 1891."" | Length of back: 77.0 cm (30 1/4 inches)",,,,,77.0,,,,"Adamsen, Peter Petersen",3
74326,2805,Viola,1948.0,2016,Tarisio,"Labeled, ""Lutherie D'art, Pere Aerts Fils, Rue de la Regence, Bruxelles Belgique, Los Angeles, 1948, Aerts."" | Varnish: of a golden orange brown color. | Length of back: 42.8 cm | Upper bouts: 19.5 cm | Middle bouts: 13.0 cm | Lower bouts: 24.0 cm",,,,,42.8,19.5,13.0,24.0,"Aerts, Marcel",3
32229,2262,Violin,1928.0,2012,Tarisio,"Unlabeled. Branded to the lower rib, ""René Aerts, Bruxelles."" | Length of back: 35.8 cm | Upper bouts: 16.8 cm | Middle bouts: 11.2 cm | Lower bouts: 20.7 cm",,,,,35.8,16.8,11.2,20.7,"Aerts, Rene",3
83357,2665,Violin,1967.0,2018 ; 2019,Tarisio ; Tarisio,"Labeled, ""Luigi Agostinelli da Gubbio, Milano anno 1967, Luigi Agostinelli, Aelli."" Signed to the label. | Branded to upper and lower block, ""Aelli."" | Length of back: 35.6 cm | Upper bouts: 16.9 cm | Middle bouts: 11.2 cm | Lower bouts: 21.0 cm",,,,,35.6,16.9,11.2,21.0,"Agostinelli, Luigi",4
78487,2665,Violin,1953.0,2017,Tarisio,"Labeled, ""Luigi Agostinelli da Gubbio, in Torre Pellice anno 1953."" Signed to the label, ""Luigi Augostinelli."" | Engraved to the blocks, ""Aelli."" Rosewood button. | Length of back: 35.7 cm | Upper bouts: 16.7 cm | Middle bouts: 11.4 cm | Lower bouts: 21.1 cm",,,,,35.7,16.7,11.4,21.1,"Agostinelli, Luigi",4
33426,2665,Viola,1954.0,2012,Tarisio,"Labeled, ""Luigi Agostinelli da Gubbio, fece a Milano, anno 1954."" Signed to the label, ""Luigi Agostinelli."" | Length of back: 42.0 cm (16 1/2 inches)",,,,,42.0,,,,"Agostinelli, Luigi",4
98495,3,Violin,1998.0,2021,Tarisio,"Labeled, ""Albanelli Franco, allievo di Gaetano Pollastri, fece in Bologna, 1998."" Signed to the label. | Branded to the inside back and upper block, ""F. Albanelli."" | Length of back: 35.8 cm",,,,,35.8,,,,"Albanelli, Franco",5
90900,3,Violin,1968.0,2020,Tarisio,"Labeled, ""Albanelli Franco, allievo di Gaetano Pollastri, fece in Bologna 1968."" | Length of back: 35.7 cm | Upper bouts: 16.8 cm | Middle bouts: 11.2 cm | Lower bouts: 20.8 cm",,,,,35.7,16.8,11.2,20.8,"Albanelli, Franco",3
78503,3,Violin,1997.0,2017; 2019,Tarisio; Ingles & Hayday,"Labeled, ""Albanelli Franco, allievo di Gaetano Pollastri, fece in Bologna 1997."" Signed to the label. | Branded to the lower rib & to the inside, ""F. Albanelli."" | Length of back: 35.8 cm | Upper bouts: 16.9 cm | Middle bouts: 11.4 cm | Lower bouts: 20.9 cm",,,,,35.8,16.9,11.4,20.9,"Albanelli, Franco",5
84601,3,Violin,1985.0,2018 ; 2019,Tarisio ; Tarisio,"Labeled, ""Gaetano Pollastri, fece in Bologna, 1952,"" of which it is a copy. | Chicken branded internally and to the lower rib. | Length of back: 35.7 cm | Upper bouts: 16.9 cm | Middle bouts: 11.4 cm | Lower bouts: 20.9 cm",,,,,35.7,16.9,11.4,20.9,"Albanelli, Franco",2
73137,3,Violin,1998.0,2015 ; 2016,Tarisio ; Tarisio,"Labeled, ""Albanelli Franco, allievo di Gaetano Pollastri, Fece in Bologna 1998."" Signed to the label, ""Albanelli Franco."" | Branded to the inside back, ""F. Albanelli."" | Length of back: 35.8 cm | Upper bouts: 16.8 cm | Middle bouts: 11.3 cm | Lower bouts: 20.8 cm",,,,,35.8,16.8,11.3,20.8,"Albanelli, Franco",5
64897,3,Violin,2004.0,2013,Tarisio,"Labeled, ""Albanelli Franco allievo di Gaetano Pollastri fece in Bologna 2004."" | Branded to the inside back and lower ribs, ""F. Albanelli."" | Length of back: 35.6 cm",,,,,35.6,,,,"Albanelli, Franco",4
24902,3,Violin,1992.0,2011 ; 2014,Tarisio ; Tarisio,"Labeled, ""Albanelli Franco, allievo di Gaetano Pollastri, fece in Bologna, 1992."" | Branded to the lower rib, inside back and inside upper block, ""F. Albanelli."" | Length of back: 35.7 cm",,,,,35.7,,,,"Albanelli, Franco",4
22251,3,Violin,1993.0,2010,Tarisio,"Labeled, ""Albanelli Franco Allievo di Gaetano Pollastri, fece in Bologna 1993."" | Length of back: 35.8 cm",,,,,35.8,,,,"Albanelli, Franco",3
15057,3,Violin,2004.0,2006 ; 2008,Tarisio ; Tarisio,Bearing the maker's signed label. | Length of back: 35.8 cm,,,,,35.8,,,,"Albanelli, Franco",4
12356,3,Violin,1955.0,2007,Tarisio,"Labeled, ""Gaetano Pollastri..."" Branded internally and to the lower rib. | Length of back: 35.6 cm",,,,,35.6,,,,"Albanelli, Franco",2
6819,3,Violin,1996.0,2004,Tarisio,Bearing the maker's label. | Near mint condition. | Length of back: 35.8 cm,,,,1.0,35.8,,,,"Albanelli, Franco",3
