maker_id,maker_name,type,city_maker,auction_house,sale_date,lot,usd,gbp,eur,bold_currency,instrument_id,stick_length_without_x,stick_length_with_x,condition_x,material_grade_x,weight_x,stick_shape_x,stick_length_without_y,stick_length_with_y,condition_y,material_grade_y,weight_y,stick_shape_y,make_date
1988,"Adam, Jean 'Grand'",Violin Bow,,,2024-02-27,,19513.0,15399.0,18000.0,,119663,72.8,74.4,0,0.0,56.5,round,72.8,74.4,0,0.0,56.5,round,
1988,"Adam, Jean 'Grand'",Violin Bow,,Tarisio,2022-10-25,99,32894.0,28638.0,33000.0,,103414,72.7,74.2,0,1.0,61.5,round,72.7,74.2,0,1.0,61.5,round,
1988,"Adam, Jean 'Grand'",Violin Bow,Paris,Tarisio,2013-06-26,113,59884.0,39000.0,45980.0,gbp,64234,,,1,1.0,61.0,,,,1,1.0,61.0,,
1988,"Adam, Jean 'Grand'",Violin Bow,Mirecourt,Tarisio,2007-10-25,537,61425.0,29985.0,42928.0,usd,13947,,,0,3.0,61.0,,,,0,3.0,61.0,,
1988,"Adam, Jean 'Grand'",Cello Bow,Mirecourt,Tarisio,2004-05-06,323,13800.0,7692.0,11390.0,usd,5683,,,0,1.0,76.5,,,,0,1.0,76.5,,
2,"Adam, Jean Dominique",Cello Bow,,,2024-05-31,,25200.0,19823.0,23222.0,,120640,70.3,72.1,0,1.0,81.5,round,70.3,72.1,0,1.0,81.5,round,
2,"Adam, Jean Dominique",Violin Bow,,Tarisio,2019-05-17,118,10200.0,7998.0,9128.0,,87142,,,0,0.5,59.0,,,,0,0.5,59.0,,
2,"Adam, Jean Dominique",Violin Bow,,Tarisio,2016-03-15,121,6273.0,4425.0,5647.0,,75221,,,0,1.0,56.0,round,,,0,1.0,56.0,round,
2,"Adam, Jean Dominique",Violin Bow,,Tarisio,2013-10-16,185,10200.0,6363.0,7522.0,,64760,,,0,1.75,63.5,octagonal,,,0,1.75,63.5,octagonal,
2,"Adam, Jean Dominique",Cello Bow,Mirecourt,Tarisio,2011-05-06,20,11400.0,6944.0,7862.0,usd,23753,,,0,1.0,78.5,,,,0,1.0,78.5,,
2,"Adam, Jean Dominique",Violin Bow,Mirecourt,Tarisio,2005-05-12,256,28750.0,15416.0,22512.0,usd,7371,,,0,1.0,58.5,,,,0,1.0,58.5,,
1590,"Allen, Samuel",Bass Bow,,,2025-03-25,,4275.0,3300.0,3949.0,,127238,,,1,1.0,148.0,round,,,1,1.0,148.0,round,
1590,"Allen, Samuel",Bass Bow,,Tarisio,2022-11-01,1,4736.0,4130.0,4799.0,,104034,67.4,70.0,1,1.0,165.0,round,67.4,70.0,1,1.0,165.0,round,
