sale_id,maker_id,maker_name,type,city_maker,auction_house,sale_date,lot,usd,gbp,eur,bold_currency,instrument_id
0,2919,"Achner, Michael",Violin,Wallgau,Tarisio,2010-02-20,354,4200.0,2721.0,3107.0,usd,20819
2,2611,"Achner, Philip",Violin,Mittenwald,Tarisio,2018-05-17,123,24000.0,17759.0,20330.0,usd,84148
6,890,"Acoulon, Alexandre Alfred",Violin,,Tarisio,2019-11-08,118,2950.0,2301.0,2675.0,,89068
7,890,"Acoulon, Alexandre Alfred",Violin,Paris,Tarisio,2013-10-16,202,3000.0,1871.0,2212.0,usd,64956
8,890,"Acoulon, Alexandre Alfred",Violin,Mirecourt,Tarisio,2007-10-25,191,4388.0,2142.0,3067.0,usd,13763
33,1988,"Adam, Jean 'Grand'",Violin Bow,,,2024-02-27,,19513.0,15399.0,18000.0,,119663
35,1988,"Adam, Jean 'Grand'",Violin Bow,,Tarisio,2022-10-25,99,32894.0,28638.0,33000.0,,103414
50,1988,"Adam, Jean 'Grand'",Violin Bow,Paris,Tarisio,2013-06-26,113,59884.0,39000.0,45980.0,gbp,64234
61,1988,"Adam, Jean 'Grand'",Violin Bow,Mirecourt,Tarisio,2007-10-25,537,61425.0,29985.0,42928.0,usd,13947
65,1988,"Adam, Jean 'Grand'",Cello Bow,Mirecourt,Tarisio,2004-05-06,323,13800.0,7692.0,11390.0,usd,5683
103,2,"Adam, Jean Dominique",Cello Bow,,,2024-05-31,,25200.0,19823.0,23222.0,,120640
111,2,"Adam, Jean Dominique",Violin Bow,,Tarisio,2019-05-17,118,10200.0,7998.0,9128.0,,87142
113,2,"Adam, Jean Dominique",Violin Bow,,Tarisio,2016-03-15,121,6273.0,4425.0,5647.0,,75221
115,2,"Adam, Jean Dominique",Violin Bow,,Tarisio,2013-10-16,185,10200.0,6363.0,7522.0,,64760
116,2,"Adam, Jean Dominique",Cello Bow,Mirecourt,Tarisio,2011-05-06,20,11400.0,6944.0,7862.0,usd,23753
125,2,"Adam, Jean Dominique",Violin Bow,Mirecourt,Tarisio,2005-05-12,256,28750.0,15416.0,22512.0,usd,7371
144,2260,"Adamsen, Peter Petersen",Violin,Copenhagen,Tarisio,2017-06-27,121,3767.0,2950.0,3337.0,gbp,75071
146,2260,"Adamsen, Peter Petersen",Viola,,Tarisio,2015-02-20,80,2714.0,1759.0,2383.0,,68883
148,2260,"Adamsen, Peter Petersen",Cello,Copenhagen,Tarisio,2013-06-26,24,18426.0,12000.0,14148.0,gbp,64736
155,2805,"Aerts, Marcel",Viola,"Los Angeles, CA",Tarisio,2016-02-26,34,3540.0,2533.0,3216.0,usd,74326
158,2262,"Aerts, Rene",Violin,Brussels,Tarisio,2012-04-27,227,3900.0,2404.0,2948.0,usd,32229
160,15467,"Aerts, René & Marcel",Violin,Brussels,,2023-11-17,,7200.0,5798.0,6624.0,,108620
161,2665,"Agostinelli, Luigi",Violin,Milan,Tarisio,2019-11-08,134,4130.0,3222.0,3745.0,usd,83357
